ctyfips,county,stfips,state,zip,cd,dma,dma name
17173,Shelby,,IL,62462,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62463,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62465,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62534,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62553,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62565,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62571,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17175,Stark,,IL,61421,,675,PEORIA-BLOOMINGTON
17175,Stark,,IL,61426,,675,PEORIA-BLOOMINGTON
17175,Stark,,IL,61449,,675,PEORIA-BLOOMINGTON
17175,Stark,,IL,61479,,675,PEORIA-BLOOMINGTON
17175,Stark,,IL,61483,,675,PEORIA-BLOOMINGTON
17175,Stark,,IL,61491,,675,PEORIA-BLOOMINGTON
17177,Stephenson,,IL,61013,,610,ROCKFORD
17177,Stephenson,,IL,61018,,610,ROCKFORD
17177,Stephenson,,IL,61019,,610,ROCKFORD
17177,Stephenson,,IL,61027,,610,ROCKFORD
17177,Stephenson,,IL,61032,,610,ROCKFORD
17177,Stephenson,,IL,61039,,610,ROCKFORD
17177,Stephenson,,IL,61044,,610,ROCKFORD
17177,Stephenson,,IL,61048,,610,ROCKFORD
17177,Stephenson,,IL,61050,,610,ROCKFORD
17177,Stephenson,,IL,61060,,610,ROCKFORD
17177,Stephenson,,IL,61062,,610,ROCKFORD
17177,Stephenson,,IL,61067,,610,ROCKFORD
17177,Stephenson,,IL,61070,,610,ROCKFORD
17177,Stephenson,,IL,61089,,610,ROCKFORD
17179,Tazewell,,IL,61534,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61535,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61550,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61554,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61555,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61558,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61564,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61568,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61571,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61610,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61611,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61721,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61733,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61734,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61747,,675,PEORIA-BLOOMINGTON
17179,Tazewell,,IL,61755,,675,PEORIA-BLOOMINGTON
