cd,zip
409,85060
409,85016
409,85280
409,85274
409,85285
409,85204
409,85014
409,85284
409,85244
409,85253
409,85201
409,85013
409,85281
409,85210
409,85226
409,85010
409,85012
409,85257
409,85068
409,85045
409,85008
409,85224
501,72437
501,72043
501,72031
501,72059
501,72086
501,72051
501,72133
501,72143
501,72130
501,72152
501,72112
501,72007
501,72017
501,72021
501,71654
501,71643
501,72556
501,72544
501,72455
501,72444
501,72442
501,72436
501,72520
501,72473
501,72540
501,72572
501,72571
501,72534
501,72123
501,72175
501,72005
501,72003
501,71655
501,72675
501,72663
501,72686
501,72680
501,72578
501,72353
501,72424
501,72415
501,72387
501,72460
501,72459
501,72568
501,72567
501,72566
501,72565
501,72533
501,72532
501,72543
501,72453
501,72435
501,72450
501,72042
501,72101
501,72055
501,72072
501,72067
501,72121
501,72137
501,72169
501,72153
501,72014
501,72020
501,72587
501,72636
501,72650
501,72312
501,72346
501,72358
501,72355
501,72335
501,72330
501,72429
501,72426
501,72421
501,72417
501,72411
501,72372
501,72515
501,72521
501,72081
501,72073
501,72140
501,72134
501,72170
501,72168
501,72531
501,72546
501,72451
501,72449
501,72329
501,72311
501,72310
501,72340
501,72331
501,72425
501,72367
501,72368
501,72394
501,72376
501,72475
501,72470
501,72458
501,72476
501,72539
501,72537
501,72454
501,72447
501,72438
501,72041
501,72026
501,72040
501,72029
501,72064
501,72069
501,72176
501,72004
501,72024
501,71676
501,71674
501,72617
501,72585
501,72350
501,72348
501,72326
501,72315
501,72432
501,72413
501,72410
501,72404
501,72392
501,72391
501,72366
501,72364
501,72401
501,72457
501,72474
501,72472
501,72501
501,72482
501,72479
501,72561
501,72553
501,72529
501,72010
501,71670
501,71601
501,72623
501,72583
501,72645
501,72037
501,72036
501,72088
501,72074
501,72428
501,72422
501,72403
501,72416
501,72395
501,72526
501,72528
501,72519
501,72471
501,72512
501,72478
501,72575
501,72555
501,72564
501,72538
501,72550
501,72048
501,72131
501,72166
501,72006
501,71663
501,71639
501,71638
501,71640
501,72654
501,72626
501,72352
501,72321
501,72320
501,72354
501,72325
501,72324
501,72427
501,72433
501,72430
501,72412
501,72365
501,72396
501,72390
501,72373
501,72517
501,72523
501,72527
501,72465
501,72462
501,72456
501,72467
501,72466
501,72569
501,72536
501,72554
501,72443
501,72441
501,72301
501,72584
501,72581
501,72635
501,72642
501,72639
501,72328
501,72160
501,71630
501,71653
501,72653
501,72332
501,72338
501,72341
501,72327
501,72414
501,72419
501,72389
501,72383
501,72370
501,72386
501,72384
501,72374
501,72524
501,72464
501,72469
501,72576
501,72530
501,72445
501,72434
501,72083
501,72046
501,72076
501,72142
501,72165
501,72179
501,72023
501,71644
501,71667
501,71662
501,72679
501,72579
501,72577
501,72651
501,72322
501,72359
501,72339
501,72333
501,72316
501,72431
501,72402
501,72405
501,72379
501,72377
501,72369
501,72360
501,72522
501,72513
501,72461
501,72573
501,72562
501,72560
501,72545
501,72542
501,72440
501,72038
501,72044
501,72108
501,72075
501,72658
501,72687
501,72313
501,72351
501,72347
501,72342
502,72025
502,72068
502,72052
502,72082
502,72081
502,72060
502,72122
502,72136
502,72127
502,72126
502,72183
502,72156
502,72119
502,72117
502,72022
502,72020
502,72223
502,72045
502,72030
502,72034
502,72032
502,72110
502,72102
502,72085
502,72149
502,72145
502,72203
502,72164
502,72120
502,72010
502,72568
502,72205
502,72031
502,72107
502,72066
502,72058
502,72076
502,72124
502,72199
502,72190
502,72180
502,72001
502,72013
502,72217
502,72221
502,72088
502,72139
502,72141
502,72204
502,72153
502,72206
502,72222
502,72219
502,72035
502,72039
502,72111
502,72823
502,72225
502,72260
502,72215
502,72214
502,72027
502,72033
502,72087
502,72104
502,72078
502,72121
502,72143
502,72135
502,72118
502,72012
502,72011
502,72002
502,72018
502,72023
502,72015
502,71909
502,72857
502,72853
502,72629
502,72255
502,72210
502,72212
502,72089
502,72080
502,72053
502,72067
502,72125
502,72131
502,72157
502,72201
502,72167
502,72113
502,72686
502,72679
502,72209
502,72216
502,72211
502,72028
502,72046
502,72070
502,72065
502,72142
502,72137
502,72178
502,72202
502,72099
502,72106
502,72103
502,72061
502,72063
502,72047
502,72181
502,72114
502,72016
502,71901
502,72645
502,72207
502,72231
502,72227
502,72173
502,72115
502,72116
502,72019
503,72675
503,72660
503,72682
503,72733
503,72735
503,72730
503,72715
503,72758
503,72811
503,72774
503,65739
503,72906
503,72846
503,72843
503,72668
503,72713
503,72704
503,72802
503,72768
503,72615
503,72613
503,72626
503,72619
503,72616
503,72640
503,72080
503,72063
503,72936
503,72948
503,72679
503,72677
503,72736
503,72727
503,72718
503,72711
503,72801
503,72741
503,72740
503,72756
503,72631
503,72601
503,72634
503,72633
503,65761
503,74902
503,72923
503,72921
503,72957
503,72685
503,72734
503,72757
503,72761
503,72738
503,72653
503,72632
503,72638
503,72905
503,72934
503,72917
503,72918
503,72956
503,72655
503,72686
503,72719
503,72773
503,72769
503,72765
503,72753
503,72745
503,72611
503,72602
503,72648
503,72644
503,72933
503,72913
503,72959
503,72940
503,72812
503,72823
503,72837
503,72904
503,72712
503,72764
503,72749
503,72739
503,72908
503,72955
503,72856
503,72902
503,72687
503,72737
503,72729
503,72722
503,72703
503,72762
503,72766
503,72751
503,72744
503,72624
503,72946
503,72941
503,72937
503,72952
503,72847
